employee_id,department,job_level,employment_type,work_mode,age,tenure_years,annual_salary_usd,workload_score,overtime_hours_month,manager_support_score,promotion_wait_years,promotion_count,training_hours_year,satisfaction_score,engagement_score,performance_score,absenteeism_days_year,attrition
EMP-00001,Engineering,Senior,Full-time,On-site,43,4.6,86500,8.5,7.1,7.3,1.1,1,37.8,6.5,7.1,6.8,7.4,0
EMP-00002,Finance,Senior,Full-time,Hybrid,31,3.9,89900,3.9,0.6,5.8,1.4,1,24.3,7.7,7.7,5.5,3.0,0
EMP-00003,Customer Success,Entry,Full-time,Hybrid,28,2.8,40300,6.5,13.1,5.5,0.8,1,47.2,7.4,5.3,6.2,9.5,0
EMP-00004,Sales,Senior,Full-time,On-site,52,8.5,74300,6.1,9.7,6.4,4.1,3,38.3,5.6,7.2,7.1,3.9,0
EMP-00005,Sales,Mid,Full-time,On-site,43,7.9,71300,3.6,0.0,10.0,1.6,3,32.4,9.0,8.8,8.4,4.9,0
EMP-00006,Operations,Senior,Full-time,Hybrid,35,7.0,87700,6.5,8.3,4.9,4.4,2,25.5,8.1,6.4,8.4,11.2,0
EMP-00007,HR,Mid,Full-time,Hybrid,34,4.2,57500,5.2,6.2,10.0,1.5,1,22.2,8.6,7.1,8.3,5.9,0
EMP-00008,Engineering,Entry,Full-time,Hybrid,36,5.8,51400,6.0,0.0,6.1,2.4,1,14.9,6.7,7.3,6.8,5.8,0
EMP-00009,Marketing,Mid,Full-time,Hybrid,34,4.0,82700,4.3,5.4,4.5,1.0,2,18.5,6.7,6.7,8.2,2.7,0
EMP-00010,Sales,Entry,Part-time,Remote,29,2.1,47100,7.2,6.6,7.3,0.1,0,14.1,6.8,4.6,7.7,3.7,0
EMP-00011,HR,Senior,Full-time,On-site,48,11.5,76600,6.7,0.9,7.1,8.9,4,15.2,5.9,7.1,7.2,2.5,0
EMP-00012,HR,Mid,Full-time,Hybrid,31,2.7,56400,7.8,28.1,7.9,0.1,0,22.1,5.4,5.1,6.0,5.3,0
EMP-00013,Finance,Senior,Full-time,On-site,32,2.7,87900,6.3,12.6,8.3,0.2,0,18.6,7.3,7.7,7.0,5.5,0
EMP-00014,Operations,Entry,Full-time,Remote,27,2.9,53400,7.0,19.8,6.9,0.9,0,29.7,4.7,6.2,5.6,6.9,0
EMP-00015,Customer Success,Mid,Part-time,Hybrid,24,2.4,82500,6.6,16.6,9.8,0.1,0,30.8,8.3,8.5,7.0,7.6,0
EMP-00016,Operations,Entry,Full-time,Hybrid,35,3.2,53200,6.1,20.3,9.6,0.6,1,31.1,6.3,6.0,5.9,7.6,0
EMP-00017,Customer Success,Entry,Full-time,Remote,22,1.5,56800,8.0,17.5,6.9,0.1,0,23.0,6.2,7.5,6.5,11.1,0
EMP-00018,Sales,Entry,Full-time,Hybrid,30,2.1,62900,5.6,0.0,5.0,0.1,0,30.7,5.7,7.9,6.0,3.5,0
EMP-00019,Sales,Entry,Full-time,On-site,23,0.2,48000,6.4,13.5,7.4,0.1,1,15.6,7.6,6.6,6.8,7.9,0
EMP-00020,Sales,Entry,Full-time,On-site,28,0.2,54800,6.2,9.0,8.3,0.1,0,28.1,7.0,8.3,9.0,11.1,0
EMP-00021,Customer Success,Mid,Full-time,Hybrid,34,4.1,52700,5.6,1.2,9.1,1.4,1,24.5,6.7,7.8,7.9,6.8,0
EMP-00022,Customer Success,Mid,Full-time,Hybrid,29,3.1,53500,3.9,0.0,6.3,0.1,0,28.0,6.5,6.6,8.0,5.1,0
EMP-00023,Marketing,Entry,Full-time,Hybrid,23,0.2,41900,5.7,0.0,7.8,0.1,0,27.3,6.2,7.0,6.3,8.2,0
EMP-00024,Engineering,Entry,Full-time,Hybrid,21,1.3,60500,5.1,11.0,4.7,0.5,0,43.6,7.0,6.4,5.1,3.7,0
EMP-00025,Customer Success,Entry,Part-time,Hybrid,33,1.2,30000,8.0,17.1,8.0,0.1,0,23.7,5.3,5.0,4.3,12.1,1
EMP-00026,Sales,Senior,Full-time,On-site,43,8.3,84700,7.6,12.4,7.6,4.0,2,27.8,5.9,4.8,7.2,7.3,0
EMP-00027,Engineering,Entry,Full-time,Hybrid,27,3.9,53600,6.1,10.3,6.5,3.0,1,46.0,4.8,5.2,6.3,1.5,0
EMP-00028,Finance,Senior,Full-time,Hybrid,41,6.1,76800,8.0,18.2,6.1,5.6,1,32.0,5.3,6.9,7.3,7.3,0
EMP-00029,Customer Success,Mid,Full-time,On-site,33,3.7,71200,6.5,8.4,8.2,2.0,1,26.9,7.4,7.0,7.9,6.3,0
EMP-00030,Sales,Senior,Full-time,On-site,37,5.0,95500,5.7,2.3,6.6,1.6,1,17.4,7.0,7.9,8.1,0.9,0
EMP-00031,Engineering,Senior,Full-time,Hybrid,39,4.7,91500,7.5,15.9,8.0,1.5,1,19.5,7.5,8.5,6.9,3.4,0
EMP-00032,Operations,Senior,Full-time,On-site,50,7.4,76700,6.8,8.6,8.0,2.8,2,38.3,5.5,5.2,7.8,10.3,1
EMP-00033,Operations,Mid,Full-time,Remote,32,4.3,62100,8.4,27.0,5.9,0.1,1,9.2,7.4,5.9,6.9,7.8,0
EMP-00034,Finance,Mid,Full-time,On-site,31,4.7,67800,5.0,6.1,6.0,1.2,1,0.0,6.4,4.5,6.8,10.7,0
EMP-00035,Sales,Entry,Full-time,Hybrid,26,3.3,43600,3.5,0.0,5.5,0.1,1,33.3,8.4,7.6,6.5,2.1,0
EMP-00036,HR,Entry,Full-time,Hybrid,40,3.8,45300,5.7,10.9,7.8,0.1,1,47.0,8.0,6.8,7.0,10.4,0
EMP-00037,Finance,Mid,Full-time,Hybrid,27,4.1,62600,8.9,19.1,7.4,3.1,1,15.4,4.8,3.3,8.4,9.7,0
EMP-00038,Customer Success,Senior,Full-time,On-site,43,8.2,77700,6.1,11.3,5.4,4.9,2,20.3,6.7,6.2,6.2,3.4,0
EMP-00039,HR,Entry,Full-time,Hybrid,21,0.2,30000,6.0,1.3,7.5,0.1,0,21.2,7.4,6.0,5.0,4.1,0
EMP-00040,Sales,Senior,Full-time,Remote,43,10.4,92500,4.4,0.0,6.7,6.8,2,26.2,8.1,8.2,9.4,0.0,0
EMP-00041,Marketing,Mid,Full-time,Hybrid,38,5.3,57900,7.1,5.8,5.4,1.9,1,35.3,6.6,5.1,8.2,7.4,1
EMP-00042,Sales,Manager,Full-time,Hybrid,29,4.8,105100,4.1,0.0,7.6,0.1,1,20.9,6.1,6.7,8.8,3.9,0
EMP-00043,Sales,Senior,Full-time,Remote,42,6.5,94300,6.2,0.0,7.1,3.9,1,30.2,6.5,6.1,8.1,0.0,0
EMP-00044,Marketing,Entry,Full-time,On-site,21,0.2,48500,6.6,10.7,5.9,0.1,0,23.6,4.6,4.2,5.5,9.4,0
EMP-00045,Sales,Mid,Full-time,On-site,37,3.8,71100,6.1,4.6,9.3,1.1,2,20.8,7.0,7.6,6.1,10.6,0
EMP-00046,Customer Success,Senior,Full-time,On-site,35,4.5,86200,6.8,26.1,4.6,0.1,1,32.6,4.0,4.6,7.0,11.7,1
EMP-00047,Finance,Mid,Full-time,On-site,41,5.3,69100,8.4,19.3,8.4,5.5,1,24.6,4.4,6.2,8.1,7.0,1
EMP-00048,Engineering,Mid,Full-time,Hybrid,27,3.5,73100,7.6,5.7,5.0,1.6,1,34.9,5.9,6.2,5.4,10.0,0
